Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
West Grant Rescue Squad Inc,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Bloomington,Region 5,,911 Transporting Service,608-994-3180,wgrescue@tds.net,42.883821,-90.923755
Livingston-Clifton First Responders,Grant,Emergency Medical Responder (EMR),911 Non-Transporting Service,Livingston,Region 5,,911 Non-Transporting Service,608-943-6199,zackaryhake@gmail.com,42.901532,-90.431855
Bagley First Responders,Grant,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bagley,Region 5,,911 Non-Transporting Service,608-732-1922,jsmyhre@gmail.com,42.901638,-91.100186
Stoughton Area Emergency Medical Service,Dane,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Stoughton,Region 5,,911 Transporting Service,608-873-6500,lschimelpfenig@ci.stoughton.wi.us,42.914613,-89.218113
Linden First Responders,Iowa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Linden,Region 5,,911 Non-Transporting Service,608-574-6667,amandaschultz_g@icloud.com,42.917881,-90.272281
Oregon Area Fire Ems District,Dane,Paramedic,911 Transporting Service,Oregon,Region 5,,911 Transporting Service,608-835-5587,cjesberger@oregonareafireems.org,42.926186,-89.383349
Fort Atkinson Fire Department Rescue Squad,Jefferson,Paramedic,911 Transporting Service,Fort Atkinson,Region 5,,911 Transporting Service,920-563-7796,mlawrence@fortatkinsonwi.gov,42.926963,-88.839812
Dodgeville Area Ambulance Service,Iowa,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Dodgeville,Region 5,,911 Transporting Service,608-935-5111,dodgevilleems@dodgevillewi.gov,42.964406,-90.133599
Cobb First Responders,Iowa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Cobb,Region 5,,911 Non-Transporting Service,608-574-2500,ryan.urich@gmail.com,42.968116,-90.334749
"Montfort Rescue Squad,  Inc.",Grant,Emergency Medical Technician (EMT),911 Transporting Service,Montfort,Region 5,,911 Transporting Service,608-943-6045,montfortrescue@yahoo.com,42.96834,-90.430953
"Fennimore Area Rescue Squad, Inc.",Grant,Emergency Medical Technician (EMT),911 Transporting Service,Fennimore,Region 5,,911 Transporting Service,608-822-1129,frschief@gmail.com,42.984573,-90.65414
Verona Fire Department,Dane,Emergency Medical Responder (EMR),911 Non-Transporting Service,Verona,Region 5,,911 Non-Transporting Service,608-497-2901,dmachotka@veronafire.com,42.99195,-89.528263
Fitch-Rona Ems District,Dane,Paramedic,911 Transporting Service,Verona,Region 5,,911 Transporting Service,608-497-2909,patricka@fitchronaems.com,42.99195,-89.528163
Fitchburg (City Of) Fire Department,Dane,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fitchburg,Region 5,,911 Non-Transporting Service,608-270-7070,chad.grossen@fitchburgwi.gov,43.001176,-89.444875
Cambridge Area Emergency Medical Service,Dane,Paramedic,911 Transporting Service,Cambridge,Region 5,,911 Transporting Service,608-423-3511,chief@ccfireandemsdistrict.com,43.004225,-89.020748
Mount Horeb Area Joint Fire Department,Dane,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Mount Horeb,Region 5,,911 Transporting Service,608-437-5571,info@fdmh.org,43.004402,-89.745469
Jefferson Emergency Medical Service,Jefferson,Paramedic,911 Transporting Service,Jefferson,Region 5,,911 Transporting Service,920-674-2751,emsdirector@jeffersonwis.com,43.005266,-88.801408
Ridgeway First Responders,Iowa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Ridgeway,Region 5,,911 Non-Transporting Service,608-924-2027,rfd@mhtc.net,43.005917,-89.987256
Helenville Fire And Rescue District,Jefferson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Helenville,Region 5,,911 Non-Transporting Service,920-728-5201,jessicaolson81@outlook.com,43.0123,-88.6988
Mcfarland Emergency Medical Service,Dane,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,McFarland,Region 5,,911 Transporting Service,608-838-3278,chris.dennis@mcfarland.wi.us,43.013171,-89.28723
Barneveld Area Rescue Squad,Iowa,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Barneveld,Region 5,,911 Transporting Service,608-924-7050,barneveldems@gmail.com,43.0169,-89.886
Woodman First Responders,Grant,Emergency Medical Responder (EMR),911 Non-Transporting Service,Mount Hope,Region 5,,911 Non-Transporting Service,608-988-4893,bergegd@tds.net,43.038602,-90.838219
Highland Ambulance Service,Iowa,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Highland,Region 5,,911 Transporting Service,608-778-9299,highlandems@mhtc.net,43.046797,-90.37975
Ryan Brothers Ambulance Service - Madison,Dane,Paramedic with Critical Care Endorsement,Critical Care Transport Service,Madison,Region 5,,Other Primary Service Type,608-257-9591,madams@ryanbros.net,43.057703,-89.399833
Ryan Brothers Ambulance Service - Fort Atkinson,Dane,Paramedic,911 Transporting Service,Madison,Region 5,,911 Transporting Service,608-257-9591,madams@ryanbros.net,43.057808734,-89.399691359
St. Mary's Perinatal Center For Sw Wi,Dane,Paramedic with Critical Care Endorsement,Critical Care Transport Service,Madison,Region 5,,Other Primary Service Type,608-258-6840,jessica.urso@ssmhealth.com,43.05953,-89.400996
Monona Emergency Medical Service,Dane,Paramedic,911 Transporting Service,Madison,Region 5,,911 Transporting Service,608-216-7442,firechief@ci.monona.wi.us,43.063746,-89.338169
Deer-Grove Ems District,Dane,Paramedic,911 Transporting Service,Cottage Grove,Region 5,,911 Transporting Service,608-839-5658,chief@deergroveems.com,43.069702,-89.199464
Madison (City Of) Fire Department,Dane,Paramedic,911 Transporting Service,Madison,Region 5,,911 Transporting Service,608-266-4201,fire@cityofmadison.com,43.07403,-89.389549
Johnson Creek Emergency Medical Service,Jefferson,Paramedic,911 Transporting Service,Johnson Creek,Region 5,,911 Transporting Service,920-699-3456,matthewa@vi.johnsoncreek.wi.gov,43.075423,-88.774416
Uw Med Flight,Dane,Paramedic with Critical Care Endorsement,Air Medical Service,Madison,Region 5,,Air Medical Service,608-263-3258,ARikkers@uwhealth.org,43.077208,-89.429249
Lake Mills Fire Department,Jefferson,Emergency Medical Technician (EMT),911 Transporting Service,Lake Mills,Region 5,,911 Transporting Service,920-648-5117,jtheder@ci.lake-mills.wi.us,43.078453,-88.914146
Middleton Emergency Medical Service,Dane,Paramedic,911 Transporting Service,Middleton,Region 5,,911 Transporting Service,608-827-1040,swunsch@ci.middleton.wi.us,43.097179,-89.51171
Maple Bluff Fire Rescue Department,Dane,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Madison,Region 5,,911 Transporting Service,608-244-3390,jdrager@villageofmaplebluff.com,43.109637,-89.364249
Cross Plains Area Emergency Medical Service,Dane,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Cross Plains,Region 5,,911 Transporting Service,608-798-2720,chief@crossplainsems.com,43.114067,-89.648721
Boscobel Rescue Squad Inc.,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Boscobel,Region 5,,911 Transporting Service,608-485-0263,pcashman1965@gmail.com,43.138651,-90.705614
Ixonia (Town Of) Emergency Medical Service,Jefferson,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Ixonia,Region 5,,911 Transporting Service,920-261-2440,ixoniafd@townofixonia.com,43.144524,-88.597229
Arena Emergency Medical Services,Iowa,Emergency Medical Technician (EMT),911 Transporting Service,Arena,Region 5,,911 Transporting Service,608-753-2335,arenaems84@gmail.com,43.162297,-89.90042
Dane County District #1 Ems,Dane,Emergency Medical Technician (EMT),911 Transporting Service,Mazomanie,Region 5,,911 Transporting Service,608-795-9860,cparman@districtoneems.org,43.171879,-89.800393
Spring Green Fire Protection District,Sauk,Emergency Medical Technician (EMT),911 Transporting Service,Spring Green,Region 5,,911 Transporting Service,608-588-2030,dmiller2300@gmail.com,43.172271,-90.064226
Sun Prairie Emergency Medical Services,Dane,Paramedic,911 Transporting Service,Sun Prairie,Region 5,,911 Transporting Service,608-837-3604,cgarrison@cityofsunprairie.com,43.176339,-89.263222
Sun Prairie Volunteer Fire Department Inc,Dane,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sun Prairie,Region 5,,911 Non-Transporting Service,608-837-5066,twestermeyer@cityofsunprairie.com,43.176814903,-89.264488647
Avoca & Rural Emergency Medical Service,Iowa,Emergency Medical Technician (EMT),911 Transporting Service,Avoca,Region 5,,911 Transporting Service,608-475-4039,emtjk06@gmail.com,43.182753,-90.325681
Lone Rock Rescue Unit,Richland,Emergency Medical Technician (EMT),911 Transporting Service,Lone Rock,Region 5,,911 Transporting Service,608-583-3412,LoneRockEMS21@outlook.com,43.184334546,-90.199016655
Blue River Volunteer Rescue Squad,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Blue River,Region 5,,911 Transporting Service,608-537-2357,blueriverfirewi@gmail.com,43.185956,-90.568902
Watertown Fire Department,Jefferson,Paramedic,911 Transporting Service,Watertown,Region 5,,911 Transporting Service,920-261-3610,treynen@watertownwi.gov,43.186559489,-88.732963003
Waterloo Fire Department,Jefferson,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Waterloo,Region 5,,911 Transporting Service,920-478-2535,Chief@waterloowi.us,43.188977,-88.979287
Muscoda Rescue Squad,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Muscoda,Region 5,,911 Transporting Service,608-739-3006,muscodaems@gmail.com,43.192295,-90.443332
Waunakee Area Emergency Medical Service,Dane,Paramedic,911 Transporting Service,Waunakee,Region 5,,911 Transporting Service,608-849-7522,srussell@waems.net,43.193399,-89.463666
Deforest Windsor Fire Protection Board,Dane,Paramedic,911 Transporting Service,De Forest,Region 5,,911 Transporting Service,608-846-4364,adisalvo@deforestwindsorfire.com,43.247486758,-89.339822247
Lebanon Fire Department - Ems,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Lebanon,Region 5,,911 Non-Transporting Service,920-988-9332,cwalterslebanon@yahoo.com,43.2589,-88.6259
Plain Fire Emergency Protection District,Sauk,Emergency Medical Technician (EMT),911 Transporting Service,Plain,Region 5,,911 Transporting Service,608-570-0550,plainamb@plainfire.org,43.279513,-90.044776
Sauk Prairie Ambulance Association,Sauk,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Prairie du Sac,Region 5,,911 Transporting Service,608-643-4183,kkirch21@gmail.com,43.282165,-89.724158
Clr Fire And Rescue,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Reeseville,Region 5,,911 Non-Transporting Service,920-296-5364,firstresponders@clrfirerescue.org,43.3042,-88.8483
Neosho First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Neosho,Region 5,,911 Non-Transporting Service,262-224-0338,braunschweigalex@yahoo.com,43.310116,-88.518591
Lodi Area Emergency Medical Service,Columbia,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Lodi,Region 5,,911 Transporting Service,608-592-7123,abrown73104@gmail.com,43.320674,-89.534484
Arlington Emergency Medical Service,Columbia,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Arlington,Region 5,,911 Transporting Service,608-635-2899,bobbijbrown2000@gmail.com,43.338561,-89.379955
Hustisford First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hustisford,Region 5,,911 Non-Transporting Service,920-349-3814,cmarshall@hustisfordfire.com,43.34356003,-88.600506121
Richland County Ambulance Service,Richland,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Richland Center,Region 5,,911 Transporting Service,608-647-6474,emsdirector@co.richland.wi.us,43.343966977,-90.387248244
Ithaca First Responders,Richland,Emergency Medical Responder (EMR),911 Non-Transporting Service,Richland Center,Region 5,,911 Non-Transporting Service,608-604-0351,sue.pilla@yahoo.com,43.355182,-90.270899
Merrimac Fire And Rescue First Responders,Sauk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Merrimac,Region 5,,911 Non-Transporting Service,608-493-2722,moey6078@yahoo.com,43.373646,-89.623745
Poynette Dekorra Emergency Medical Service,Columbia,Emergency Medical Technician (EMT),911 Transporting Service,Poynette,Region 5,,911 Transporting Service,608-516-7838,pschwanbeck@pdfd.net,43.3906,-89.4034
Iron Ridge First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Iron Ridge,Region 5,,911 Non-Transporting Service,920-664-2747,IronRidgefire@gmail.com,43.397604,-88.53978
Juneau Emergency Medical Service,Dodge,Emergency Medical Technician (EMT),911 Transporting Service,Juneau,Region 5,,911 Transporting Service,920-386-4813,ems@cityofjuneauwi.gov,43.400227,-88.704224
Hillpoint First Responders,Sauk,Emergency Medical Responder (EMR),911 Non-Transporting Service,HillPoint,Region 5,,911 Non-Transporting Service,608-604-9985,hillpointems@gmail.com,43.4108,-90.1287
Loganville First Responders,Sauk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Loganville,Region 5,,911 Non-Transporting Service,608-963-5325,plainwayne98@gmail.com,43.441013,-90.038215
Horicon Emergency Medical Services,Dodge,Emergency Medical Technician (EMT),911 Transporting Service,Horicon,Region 5,,911 Transporting Service,920-485-3512,caroleba717@gmail.com,43.446933,-88.641711
Rio Fire Department,Columbia,Emergency Medical Technician (EMT),911 Transporting Service,Rio,Region 5,,911 Transporting Service,920-992-5605,rioems@outlook.com,43.449467,-89.246003
Beaver Dam Fire Department,Dodge,Paramedic,911 Transporting Service,Beaver Dam,Region 5,,911 Transporting Service,920-887-4609,jzemlickaretzlaff@ci.beaverdam.wi.gov,43.454986,-88.834
North Freedom Fire Department,Sauk,Emergency Medical Responder (EMR),911 Non-Transporting Service,North Freedom,Region 5,,911 Non-Transporting Service,608-522-4570,fanstett@centurytel.net,43.460695,-89.866912
Baraboo District Ambulance Service,Sauk,Paramedic with Critical Care Endorsement,911 Transporting Service,Baraboo,Region 5,,911 Transporting Service,608-356-3455,cjohnson@baraboofireandems.com,43.470966,-89.741777
Mayville Emergency Medical Service,Dodge,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Mayville,Region 5,,911 Transporting Service,920-387-7989,mayvilleems@mayvillecity.com,43.49456,-88.543307
Burnett First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Burnett,Region 5,,911 Non-Transporting Service,920-689-2278,burnettfd@live.com,43.504821,-88.70928
Kickapoo Valley Rescue Squad Inc.,Richland,Emergency Medical Technician (EMT),911 Transporting Service,Viola,Region 5,,911 Transporting Service,608-627-1810,kvrs@mwt.net,43.507439,-90.667368
Theresa Ambulance Service,Dodge,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Theresa,Region 5,,911 Transporting Service,920-488-6301,theresaambulanceservice@gmail.com,43.517118621,-88.451458392
Cazenovia Area Rescue Squad,Richland,Emergency Medical Technician (EMT),911 Transporting Service,Cazenovia,Region 5,,911 Transporting Service,608-983-2368,director@cazambulance.org,43.525883,-90.195836
Kekoskee First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Mayville,Region 5,,911 Non-Transporting Service,262-937-7741,kfd2401@gmail.com,43.529915049,-88.558892668
City Of Reedsburg Ambulance,Sauk,Paramedic with Critical Care Endorsement,911 Transporting Service,Reedsburg,Region 5,,911 Transporting Service,608-524-3074,director@reedsburgambulance.com,43.530057899,-90.006927474
Randolph Ambulance Association,Columbia,Emergency Medical Technician (EMT),911 Transporting Service,Randolph,Region 5,,911 Transporting Service,920-326-3662,pmacheel@centurytel.net,43.538583,-89.007859
Yuba First Responders,Richland,Emergency Medical Responder (EMR),911 Non-Transporting Service,Yuba,Region 5,,911 Non-Transporting Service,608-434-6164,urbanek@mwt.net,43.539047,-90.428941
Portage Fire Department,Columbia,Paramedic,911 Transporting Service,Portage,Region 5,,911 Transporting Service,608-742-2172,cody.doucette@portagewi.gov,43.54138879,-89.462285059
Cambria Community Ambulance Service,Columbia,Emergency Medical Technician (EMT),911 Transporting Service,Cambria,Region 5,,911 Transporting Service,920-296-8463,cambria112@yahoo.com,43.548,-89.1071
Fox Lake Fire Department,Dodge,Emergency Medical Technician (EMT),911 Transporting Service,Fox Lake,Region 5,,911 Transporting Service,920-928-6115,jenquade77@hotmail.com,43.565866,-88.903608
Divine Savior Emergency Medical Service,Columbia,Paramedic with Critical Care Endorsement,911 Transporting Service,Portage,Region 5,,911 Transporting Service,608-745-5143,bob.kirkley@aspirus.org,43.566135,-89.46926
La Valle First Responders,Sauk,Emergency Medical Responder (EMR),911 Non-Transporting Service,La Valle,Region 5,,911 Non-Transporting Service,608-985-7583,sleddoc@mwt.net,43.582177,-90.130496
Lomira Fire Department First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Lomira,Region 5,,911 Non-Transporting Service,920-539-0972,lieutenant2@villageoflomira.gov,43.586983,-88.436451
Friesland Emergency Medical Responders,Columbia,Emergency Medical Responder (EMR),911 Non-Transporting Service,Friesland,Region 5,,911 Non-Transporting Service,920-763-2332,frieslandemresponders@gmail.com,43.587876,-89.067323
Dells-Delton Emergency Medical Service,Sauk,Paramedic,911 Transporting Service,Lake Delton,Region 5,,911 Transporting Service,608-254-2159,dgavinski@dells-deltonems.org,43.5903,-89.7924
Brownsville Fire Company First Responders,Dodge,Emergency Medical Responder (EMR),911 Non-Transporting Service,Brownsville,Region 5,,911 Non-Transporting Service,920-583-4024,brownsvillefireco@gmail.com,43.615467,-88.490796
Wonewoc Area Fire & Ambulance Association,Juneau,Emergency Medical Technician (EMT),911 Transporting Service,Wonewoc,Region 5,,911 Transporting Service,608-479-1781,skaroemt@gmail.com,43.669299,-90.181295
Dells Raceway Park Ems,Adams,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wisconsin Dells,Region 5,,911 Non-Transporting Service,608-212-8571,pholicek@rudolphfd.com,43.676197,-89.848128
Lyndon Station First Responders,Juneau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Lyndon Station,Region 5,,911 Non-Transporting Service,608-666-2580,lsfdrespond@hotmail.com,43.71255,-89.901326
Elroy Area Ambulance Association Inc.,Juneau,Emergency Medical Technician (EMT),911 Transporting Service,Elroy,Region 5,,911 Transporting Service,608-462-5006,elroyareaambulance53929@gmail.com,43.738843,-90.270288
Mauston Area Ambulance Association Inc,Juneau,Paramedic with Critical Care Endorsement,911 Transporting Service,Mauston,Region 5,,911 Transporting Service,608-847-2223,cleopold@maustonems.org,43.793958,-90.072921
Marquette County Ems,Marquette,Paramedic,911 Transporting Service,Montello,Region 5,,911 Transporting Service,608-297-3125,rlulling@co.marquette.wi.us,43.795328,-89.342655
New Lisbon (City Of) First Responders,Juneau,Emergency Medical Responder (EMR),911 Non-Transporting Service,New Lisbon,Region 5,,911 Non-Transporting Service,608-548-4759,nlfr@mwt.net,43.881381,-90.167828
New Chester Fire & Rescue First Responders,Adams,Emergency Medical Responder (EMR),911 Non-Transporting Service,Grand Marsh,Region 5,,911 Non-Transporting Service,608-339-6100,emrdirector.ncfd@yahoo.com,43.886277355,-89.704680552
Wisconsin Task Force I Usar Medical Unit,Juneau,Paramedic,911 Non-Transporting Service,Camp Douglas,Region 5,,911 Non-Transporting Service,608-289-1854,john.mcmanus@widma.gov,43.924683921,-90.263870887
Volk Field Fire & Ems,Juneau,Emergency Medical Technician (EMT),911 Transporting Service,Camp Douglas,Region 5,,911 Transporting Service,608-427-1417,timothy.robers@us.af.mil,43.931402077,-90.262254659
Neshkoro Fire Dist First Responders,Marquette,Emergency Medical Responder (EMR),911 Non-Transporting Service,Neshkoro,Region 5,,911 Non-Transporting Service,920-229-1976,jsinarescue1@hotmail.com,43.958396,-89.218406
Big Flats Emergency Medical Responders,Adams,Emergency Medical Responder (EMR),911 Non-Transporting Service,Arkdale,Region 5,,911 Non-Transporting Service,608-564-7754,stuymac2004@yahoo.com,44.112554438,-89.79887546
Southern Green Lake County Ambulance Service,Green Lake,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Markesan,Region 6,,911 Transporting Service,920-229-7493,joel@rennerts.com,43.718368,-88.990721
Green Lake/Brooklyn First Responders,Green Lake,Emergency Medical Responder (EMR),911 Non-Transporting Service,Green Lake,Region 6,,911 Non-Transporting Service,920-807-9549,glbfirstresponders@gmail.com,43.847793,-88.94148
Nekimi First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oshkosh,Region 6,,911 Non-Transporting Service,920-379-5618,becker.carson123@gmail.com,43.946032388,-88.587640698
New Holstein First Responders,Calumet,Emergency Medical Responder (EMR),911 Non-Transporting Service,New Holstein,Region 6,,911 Non-Transporting Service,920-602-3330,halby04@hotmail.com,43.951537,-88.09559
Utica First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oshkosh,Region 6,,911 Non-Transporting Service,920-376-0999,uticaff501@gmail.com,43.953946,-88.679336
Berlin Emergency Medical Service,Green Lake,Paramedic,911 Transporting Service,Berlin,Region 6,,911 Transporting Service,920-361-5468,evandenlangenberg@cityofberlin.wi.gov,43.9688,-88.949057
Oshkosh (City Of) Fire Department,Winnebago,Paramedic,911 Transporting Service,Oshkosh,Region 6,,911 Transporting Service,920-236-5240,adroessler@ci.oshkosh.wi.us,44.014787,-88.534837
Ascension Calumet Hospital Ambulance,Calumet,Paramedic,911 Transporting Service,Chilton,Region 6,,911 Transporting Service,920-967-6068,nromenesko@goldcross.org,44.025318,-88.154207
Chilton (City Of) Fire Department Emergency Medical Responders,Calumet,Emergency Medical Responder (EMR),911 Non-Transporting Service,Chilton,Region 6,,911 Non-Transporting Service,920-849-2451,bschoenborn@chiltonwi.gov,44.029237,-88.164418
Algoma (Town Of) First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oshkosh,Region 6,,911 Non-Transporting Service,920-233-5905,gdemler@toafd.net,44.032878,-88.598126
Omro Rushford  First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Omro,Region 6,,911 Non-Transporting Service,920-216-3896,andersencl7@yahoo.com,44.038419,-88.750483
Coloma Volunteer Fire Department First Responders,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Coloma,Region 6,,911 Non-Transporting Service,715-228-5555,cvfd300@uniontel.net,44.041553,-89.509867
Redgranite Area Fire District First Responders,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Redgranite (Red Granite),Region 6,,911 Non-Transporting Service,920-566-4411,rgfd@redgranitefdwi.gov,44.043203,-89.1011
Wautoma Area Fire District First Responders,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wautoma,Region 6,,911 Non-Transporting Service,920-787-7612,MikeStephen60@yahoo.com,44.066352,-89.287659
Stockbridge First Responders,Calumet,Emergency Medical Responder (EMR),911 Non-Transporting Service,Stockbridge,Region 6,,911 Non-Transporting Service,920-841-0230,stadeck1@gmail.com,44.070428733,-88.300291645
Waushara County Emergency Medical Services,Waushara,Paramedic with Critical Care Endorsement,911 Transporting Service,Wautoma,Region 6,,911 Transporting Service,920-787-6531,Keith.Melvin@co.waushara.wi.us,44.074192,-89.290077
Oshkosh (Town Of) First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oshkosh,Region 6,,911 Non-Transporting Service,920-379-4718,Emsdirector@town.oshkosh.wi.gov,44.08374918,-88.537679932
Vinland (Town Of) First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Oshkosh,Region 6,,911 Non-Transporting Service,920-235-6953,jschmoker15@yahoo.com,44.111175,-88.58388
Winneconne Poygan First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Winneconne,Region 6,,911 Non-Transporting Service,920-379-7091,toddnagler67@gmail.com,44.111404024,-88.71901008
Poy Sippi Volunteer Fire Department,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Poy Sippi,Region 6,,911 Non-Transporting Service,920-987-5408,psfd297@gmail.com,44.137549,-88.99367
Hilbert/Potter First Responders,Calumet,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hilbert,Region 6,,911 Non-Transporting Service,920-841-7455,lumberdog322@potterbs.com,44.140208976,-88.160891773
Neenah (Town Of) Fire Department First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Neenah,Region 6,,911 Non-Transporting Service,920-722-6623,firedept@townofneenah.com,44.156228,-88.508038
Wild Rose Fire Department First Responders,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wild Rose,Region 6,,911 Non-Transporting Service,920-622-3699,wildrosefiredepartment@gmail.com,44.173897,-89.255483
Saxeville Springwater Volunteer Fire Department,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Saxeville,Region 6,,911 Non-Transporting Service,920-622-4455,saxevillefd@centurytel.net,44.176230439,-89.115046622
Neenah-Menasha Fire Rescue,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Neenah,Region 6,,911 Non-Transporting Service,920-886-6202,skrueger@nmfire.org,44.184675,-88.462517
Thedastar Air Medical,Winnebago,Paramedic with Critical Care Endorsement,Air Medical Service,Neenah,Region 6,,Air Medical Service,920-729-2114,thedastar@thedacare.org,44.187851,-88.454016
"Great Lakes Ems, Inc. (Dropped)",Calumet,Advanced Emergency Medical Technician (AEMT),Interfacility Transfer Service,Brillion,Region 6,,Other Primary Service Type,920-581-8000,ryan@greatlakesems.org,44.189449,-88.063368
Clayton Fire Rescue,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Larsen,Region 6,,911 Non-Transporting Service,920-836-2170,firechief@claytonwinnebagowi.gov,44.19327,-88.624582
Harrison First Responders,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Menasha,Region 6,,911 Non-Transporting Service,920-989-1062,jgerl@harrison-wi.org,44.196866672,-88.303035663
Winchester Emergency Medical Services,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Larsen,Region 6,,911 Non-Transporting Service,920-585-1273,ktscritters@yahoo.com,44.199382,-88.657393
Medics Wisconsin,Winnebago,Paramedic,911 Non-Transporting Service,Neenah,Region 6,,911 Non-Transporting Service,920-203-8791,jason@medicswisconsin.com,44.199628121,-88.492365732
Brillion (Town Of) First Responders,Calumet,Emergency Medical Responder (EMR),911 Non-Transporting Service,Forest Junction,Region 6,,911 Non-Transporting Service,920-428-2795,cdebmike@tds.net,44.2121,-88.146
Plainfield Fire Department First Responders,Waushara,Emergency Medical Responder (EMR),911 Non-Transporting Service,Plainfield,Region 6,,911 Non-Transporting Service,715-335-4253,Plainfieldfdems@gmail.com,44.212592,-89.49273
Fox Crossing Fire Department,Winnebago,Emergency Medical Responder (EMR),911 Non-Transporting Service,Neenah,Region 6,,911 Non-Transporting Service,920-720-7125,sbordeaux@foxcrossingwi.gov,44.215116,-88.485563
Gold Cross Ambulance Service Inc. - Brillion,Winnebago,Emergency Medical Technician (EMT),911 Transporting Service,Menasha,Region 6,,911 Transporting Service,920-967-6068,nromenesko@goldcross.org,44.226664,-88.427745
Gold Cross Ambulance Service Inc. - Menasha,Winnebago,Paramedic with Critical Care Endorsement,911 Transporting Service,Menasha,Region 6,,911 Transporting Service,920-967-6068,nromenesko@goldcross.org,44.226664,-88.427245
Buchanan Fire & Rescue,Outagamie,Emergency Medical Technician (EMT),911 Non-Transporting Service,Appleton,Region 6,,911 Non-Transporting Service,920-734-8599,wiz5347@yahoo.com,44.229477,-88.402095
Appleton International Airport Public Safety,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Appleton,Region 6,,911 Non-Transporting Service,920-832-1633,tmeisner@atwairport.com,44.256693,-88.509819
Fremont-Wolf River Ems Ltd.,Waupaca,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Fremont,Region 6,,911 Transporting Service,920-446-3711,fremontwolfriverems@yahoo.com,44.260039,-88.85492
